,éûçè,èoóàçÇ,ñÒíËíl
18081,10:01:06,100.0,1505.0
18082,10:01:05,300.0,1504.0
18083,10:01:05,100.0,1504.0
18084,10:01:05,100.0,1503.0
18085,10:01:05,100.0,1503.0
18086,10:01:04,300.0,1504.0
18087,10:01:04,200.0,1504.0
18088,10:01:04,1500.0,1504.0
18089,10:01:04,1500.0,1503.0
18090,10:01:03,1600.0,1502.0
18091,10:01:03,100.0,1502.0
18092,10:01:03,300.0,1501.0
18093,10:01:03,100.0,1501.0
18094,10:01:00,100.0,1500.0
18095,10:01:00,600.0,1500.0
18096,10:00:57,1200.0,1500.0
18097,10:00:57,1000.0,1500.0
18098,10:00:57,200.0,1500.0
18099,10:00:57,400.0,1499.0
18100,10:00:57,300.0,1498.0
18101,10:00:55,100.0,1497.0
18102,10:00:54,900.0,1498.0
18103,10:00:54,200.0,1498.0
18104,10:00:54,200.0,1498.0
18105,10:00:54,400.0,1498.0
18106,10:00:52,100.0,1498.0
18107,10:00:51,200.0,1498.0
18108,10:00:51,300.0,1499.0
18109,10:00:50,100.0,1499.0
18110,10:00:49,200.0,1500.0
18111,10:00:49,300.0,1500.0
18112,10:00:48,500.0,1500.0
18113,10:00:47,100.0,1501.0
18114,10:00:47,100.0,1500.0
18115,10:00:46,100.0,1500.0
18116,10:00:45,100.0,1500.0
18117,10:00:45,400.0,1500.0
18118,10:00:44,300.0,1501.0
18119,10:00:44,300.0,1501.0
18120,10:00:41,100.0,1502.0
18121,10:00:40,100.0,1503.0
18122,10:00:40,200.0,1502.0
18123,10:00:40,200.0,1502.0
18124,10:00:39,100.0,1502.0
18125,10:00:39,200.0,1503.0
18126,10:00:38,200.0,1501.0
18127,10:00:38,100.0,1501.0
18128,10:00:38,100.0,1502.0
18129,10:00:37,100.0,1502.0
18130,10:00:37,100.0,1502.0
18131,10:00:37,100.0,1502.0
18132,10:00:35,100.0,1502.0
18133,10:00:35,100.0,1502.0
18134,10:00:35,100.0,1502.0
18135,10:00:35,100.0,1501.0
18136,10:00:35,100.0,1501.0
18137,10:00:35,100.0,1501.0
18138,10:00:35,100.0,1501.0
18139,10:00:35,3000.0,1500.0
18140,10:00:35,400.0,1500.0
